CourseCode,CourseName,Category,Credits,TotalHours,CIE,SEE,Semester
CD252IA,Database Management Systems,Professional Core Course,3-0-1,45L+30P,150,150,5
AI255TBA,Artificial Intelligence integrated Software Engineering,Professional Core Elective,3-0-0,45L,100,100,5
AI254TA,Machine Learning Operations,Professional Core,3-1-0,45L+30T,100,100,5
AI253IA,Artificial Neural Networks and Deep Learning,Professional Core Course,3-0-1,45L+30P,150,150,5
HS251TA,Principles of Management & Economics,Professional Core Course,3-0-0,45Hrs,100,100,5
